Ticker,Last traded price
GIS,65.32
FLUT,211.98
IR,90.53
KVUE,19.18
EXC,36.13
VEEV,221.64
MPWR,721.13
NEM,31.28
PCG,17.03
IT,460.64
KR,48.21
VRSK,244.83
BCE,37.6
GPN,133.1
VMC,257.23
MLM,548.68
PWR,234.39
WIT,6.35
PPG,144.37
CSGP,84.79
NET,98.45
ZS,235.23
ON,76.19
CDW,247.11
IMO,61.61
CVE,17.62
XEL,59.33
EFX,265.98
NDAQ,56.65
MDB,451.52
BIIB,223.32
ACGL,87.29
TCOM,47.34
FICO,1282.33
ROK,280.51
LYB,99.27
FANG,176.36
DLTR,145.88
CCEP,68.56
BCS,8.5
RCL,121.91
HAL,35.21
DG,140.4
ORAN,11.69
VICI,30.05
HUBS,605.41
ED,87.93
XYL,125.63
PEG,60.75
FTV,86.11
DFS,121.71
GFS,53.15
EXR,140.06
ANSS,340.89
BKR,29.89
DD,69.96
CPNG,16.4
LSXMA,30.35
LSXMK,30.16
FWONA,61.84
FWONK,68.75
LLYVA,36.85
LLYVK,38.06
HPQ,29.27
ADM,53.45
PUK,21.16
WTW,277.57
BBDO,2.53
BBD,2.78
HIG,95.88
DVN,43.88
CBRE,90.11
GLW,32.69
PKX,82.66
BF.B,57.49
SE,45.02
DAL,41.72
DB,13.38
RMD,184.04
ZBH,129.18
RBLX,41.46
NTR,53.24
HWM,65.87
TU,18.01
ULTA,549.78
WST,367.44
SPLK,155.55
KEYS,149.97
CAH,108.09
TLK,26.41
TTWO,151.01
TSCO,243.07
EIX,68.26
ICLR,314.19
GRMN,135.51
MTD,1209.79
OWL,18.0
GOLD,14.74
NWG,6.04
AVB,175.4
RYAAY,141.21
TROW,110.99
CQP,51.98
RJF,118.58
WEC,78.86
WY,33.38
EC,11.8
PINS,35.86
HEI.A,161.37
HEI,199.17
WAB,138.29
RCI,45.8
CHD,100.4
ALGN,316.88
NVR,7584.75
VRT,62.7
BRO,84.24
AEM,49.63
ARGX,409.52
MOH,406.77
GIB,116.2
QSR,76.13
BR,201.49
FCNCA,1534.6
STE,235.85
WBD,8.61
AWK,118.96
TEF,4.08
BLDR,188.67
EBAY,44.01
EQR,60.2
MTB,138.1
SYM,40.4
DOV,164.1
SBAC,212.96
FITB,33.52
DECK,880.48
VOD,8.47
MT,26.42
TW,105.09
BNTX,93.97
PHM,105.74
DTE,108.45
WRB,85.31
TRGP,97.03
BSBR,5.66
STT,73.58
JBHT,213.07
RKT,11.56
APTV,77.23
ILMN,133.0
LYV,95.32
ETR,102.5
PTC,180.94
FE,37.4
BAX,42.55
KOF,98.84
ARE,121.93
VLTO,86.71
IRM,75.03
CBOE,197.15
TS,35.66
ALNY,157.65
GPC,147.88
EBR.B,9.46
EBR,8.62
FNV,107.72
LUV,33.78
AXON,270.63
TDY,432.87
ENTG,132.54
ES,58.87
IFF,80.48
INVH,33.28
ROL,42.58
STLD,127.01
DRI,169.51
TECK,39.6
FLT,281.2
NOK,3.54
CTRA,25.98
PPL,26.8
ASX,9.81
VRSN,196.56
HPE,15.11
HUBB,365.79
MBLY,23.74
LPLA,263.36
WAT,331.25
FTS,39.36
BALL,62.89
COO,96.75
K,56.43
APP,57.39
MKL,1471.52
DKNG,41.28
GMAB,29.16
BAH,148.91
UMC,7.56
CCL,15.23
CUK,13.92
EXPE,136.3
PFG,80.24
CLX,152.84
PBA,34.69
TSN,53.81
ZM,63.4
VIV,11.05
HBAN,12.86
AEE,71.6
WBA,21.73
RPRX,31.03
PHG,20.12
STX,87.98
ERIE,349.51
TYL,437.48
J,146.99
CHKP,160.28
RS,324.12
LH,219.16
MKC,68.08
ERIC,5.46
SIRI,4.76
WDC,56.06
WLK,136.79
IHG,111.69
WPM,39.86
WMG,34.38
JBL,139.52
CCJ,40.19
HOLX,76.15
IEX,237.05
VTR,44.16
NTAP,87.4
SNAP,10.8
IOT,33.31
TME,10.23
CNP,27.91
CINF,112.81
EPAM,301.8
BEKE,14.14
OMC,88.6
FDS,463.47
AVY,214.69
EXPD,120.15
WSO,384.98
ATO,112.76
BAM,41.17
VST,48.62
YUMC,42.16
BMRN,91.24
LDOS,126.06
CSL,356.27
RF,18.28
BGNE,155.1
CMS,57.7
SWKS,103.85
JHX,38.54
ENPH,118.19
AVTR,24.35
HRL,30.51
AER,77.85
TXT,85.97
EQT,37.01
NTRS,81.48
MAS,74.94
SUI,131.39
CE,149.38
CNHI,12.22
LII,459.29
CG,44.64
BBY,76.28
SYF,40.12
AKAM,108.17
EG,370.88
VTRS,13.53
SSNC,64.9
GDDY,114.91
NICE,238.2
CRBG,25.11
TER,100.14
MGA,54.34
NDSN,273.71
BSY,52.18
PKG,175.41
ZTO,19.49
FSLR,142.89
LOGI,89.64
NWSA,26.43
NWS,27.58
TPG,42.82
MANH,248.9
TRMB,61.46
CF,80.41
GGG,90.36
LW,102.67
DPZ,433.65
TKO,85.81
EDU,91.61
CELH,64.05
UAL,45.51
SAIA,563.59
MAA,126.32
TEVA,12.89
ESS,229.34
TRU,77.44
DT,50.01
POOL,387.61
SUZ,11.12
HST,20.27
RPM,112.72
WSM,226.61
ZBRA,274.99
SNA,270.95
BEN,27.01
CFG,31.15
BIP PR B,0.0
BIP PR A,0.0
BIP,30.62
LECO,250.03
XPO,121.89
NTNX,58.76
MRO,23.78
H,150.17
DGX,127.08
LKQ,52.18
ALB,120.65
MGM,42.58
GEN,22.14
DKS,172.67
PODD,184.21
BG,93.65
INCY,60.59
OKTA,83.24
RTO,27.75
FOX,27.68
FOXA,30.23
FNF,50.06
SWK,89.14
XP,24.03
CAG,28.3
BAP,170.53
KEY,14.26
AMCR,9.27
KIM,19.54
NBIX,134.18
PATH,23.33
SJM,125.92
GFL,35.61
BURL,199.4
PSTG,40.57
RDY,77.59
RVTY,104.44
BLD,411.34
WES,33.78
ESTC,129.62
WMS,163.43
CRL,247.71
JKHY,175.95
SRPT,136.53
SNN,28.88
OC,147.37
AMH,35.24
CPB,42.45
OVV,45.97
TAP,62.49
RBA,76.73
TFII,148.7
USFD,51.06
LNT,48.7
PNR,76.76
ELS,66.82
HTHT,39.39
WPC,55.98
GRAB,3.16
AGR,32.08
ZG,51.45
Z,53.53
IPG,32.3
ACI,21.44
EME,269.72
NIO,5.4
RYAN,47.04
ACM,89.53
GLPI,45.44
CX,8.15
SQM,43.67
MEDP,401.67
KRTX,320.25
MSTR,687.44
FND,117.11
HOOD,14.48
CNA,44.5
TPL,1561.36
GL,126.9
RL,188.44
JNPR,37.18
IP,34.73
UDR,35.85
AOS,81.4
VFS,5.06
RNR,226.45
MORN,298.71
FLEX,28.15
U,31.26
KNSL,508.1
NRG,51.55
ARCC,20.11
PFGC,75.61
NI,26.12
PR,15.05
COTY,13.1
BRKR,84.67
WYNN,104.16
PAA,16.36
EVRG,50.57
EQH,34.68
KMX,73.33
LAMR,110.08
TOL,111.3
AFRM,36.98
BCH,22.11
AZPN,183.76
FMS,19.37
HII,288.14
ALLE,129.09
EDR,24.17
TOST,21.09
RGA,173.7
WRK,43.91
GFI,12.92
TECH,71.62
REG,60.73
REXR,51.84
UHS,164.31
DAY,71.42
LEGN,66.1
TFX,237.75
SBS,16.01
RRX,168.47
RIVN,10.07
TPR,48.55
QRVO,112.8
ALLY,36.21
CASY,299.75
CHK,81.93
FFIV,185.83
GTLB,69.94
NVT,66.17
RGEN,196.52
DVA,125.26
EXAS,57.53
AES,16.0
DOX,91.78
AEG,5.82
FIVE,193.47
PCOR,73.8
UWMC,6.69
AFG,126.1
CTLT,58.77
OTEX,38.68
BBWI,47.25
MOS,31.48
SCI,72.65
CYBR,255.91
DINO,57.83
CVNA,69.23
PAYC,184.67
CFLT,33.18
X,47.26
LSCC,74.75
ITT,125.67
BXP,65.03
ONON,32.2
UTHR,227.03
TWLO,58.01
DOCU,51.73
EWBC,72.36
TREX,93.81
FBIN,80.76
EMN,86.61
PEN,238.37
ELF,185.94
CPT,94.85
PAG,150.99
MNDY,207.9
HSIC,79.86
SWAV,260.83
CLF,20.22
AAL,15.13
TXRH,148.9
WPP,46.17
CUBE,43.41
WTRG,35.13
CLH,184.32
MTCH,36.86
WING,338.83
BIO,337.99
TTC,93.21
PCTY,173.42
GWRE,120.28
QGEN,43.82
BIRK,52.0
INFA,32.34
GLOB,226.52
STN,83.04
CNM,46.57
TTEK,177.15
UNM,49.58
WEX,222.12
YPF,18.04
FTI,21.53
NLY,18.88
KNX,58.22
ATR,141.36
ESLT,211.39
CCK,76.92
BJ,71.63
THC,92.8
AIZ,178.37
ALV,112.32
PEAK,16.63
COHR,58.86
WSC,48.28
ROIV,11.6
SKX,60.2
ASND,159.4
CW,238.99
APA,30.03
HLI,131.85
VIPS,16.99
SNX,103.11
ROKU,64.48
BSAC,18.99
TIMB,18.4
STVN,32.17
ASR,297.04
MTN,234.98
CHE,597.83
CZR,41.65
CHDN,122.88
OLED,171.89
FIX,279.06
PRI,249.93
TPX,51.92
SEIC,67.29
JEF,42.08
LBRDA,61.93
LBRDK,62.0
JLL,182.93
ONTO,178.46
EGP,180.93
XPEV,8.63
CHRW,73.35
EXP,248.67
APG,35.27
TAL,14.21
NTRA,70.46
SKM,22.06
MUSA,413.46
ETSY,73.98
PSN,79.27
WWD,139.26
CART,30.59
RHI,80.11
GNTX,36.08
SSD,199.96
PSO,12.11
NXT,57.94
MKSI,120.03
APPF,236.31
BWXT,89.83
FRT,98.28
LNW,93.65
CACI,369.36
CIEN,55.33
GPK,26.4
ARMK,31.35
IEP,19.84
WBS,47.2
MKTX,214.92
JAZZ,132.28
MIDD,153.34
ORI,28.74
PVH,135.95
COLD,25.77
AGCO,108.23
APLS,68.47
KBR,59.53
CIB,33.23
DBX,24.0
PARA,11.21
PARAA,20.41
SOFI,8.17
PNW,70.5
ELAN,16.37
DCI,66.76
RBC,270.69
FCN,216.1
S,27.22
SF,76.55
HESM,34.64
LAD,288.51
FHN,14.06
TX,39.84
ACHC,84.29
AR,25.21
WFRD,105.73
WIX,134.22
SWN,6.91
LEA,135.2
OHI,31.12
RRC,31.16
DLB,79.99
AMKR,30.59
INGR,114.97
NNN,41.48
KVYO,28.59
GMED,56.29
UI,120.98
GGB,4.28
AYI,244.8
SITE,167.62
DUOL,177.13
FSV,164.68
EHC,75.25
CYTK,78.02
SN,53.76
WCC,145.48
GRFS,9.13
ALTR,85.52
DSGX,86.34
FN,199.12
SUM,42.24
AIT,188.59
MHK,114.94
FR,54.27
MTDR,60.72
RHP,119.25
BRBR,55.06
DV,42.36
SAIC,139.26
LBTYK,19.22
LBTYA,18.23
LEVI,18.18
XRAY,33.91
CROX,118.31
NYT,43.55
LCID,3.02
GPS,19.45
VOYA,68.25
MSA,180.04
AXTA,32.24
HQY,82.23
FUTU,50.55
STAG,38.31
OSK,108.86
BERY,59.75
IVZ,15.34
BWA,30.41
ENSG,124.25
CGNX,39.56
LSTR,195.18
MAT,19.63
DDS,430.33
UGP,6.15
HAS,49.59
EVR,183.01
NCLH,16.17
BRX,22.77
CR,121.91
CHWY,16.09
MASI,132.21
ITCI,70.16
CRSP,83.99
CFR,107.35
UFPI,111.87
NOV,17.23
CSAN,14.21
RGLD,106.76
YMM,6.38
PPC,28.87
CCCS,11.36
DAR,42.32
AZEK,46.89
SPSC,184.1
CACC,550.77
GNRC,112.79
PAC,153.04
BEP,23.15
CHRD,159.73
CBSH,51.94
AAON,84.05
HRB,49.12
OGE,33.48
RLI,146.62
BZ,15.0
ICL,5.15
CMA,49.54
VNT,42.62
ZI,17.24
WTS,197.89
THO,124.31
G,36.3
WH,79.49
BILL,63.29
NFE,31.83
VNOM,36.02
WAL,58.73
HLNE,119.05
FMC,52.38
PNFP,83.22
ALSN,74.63
POST,105.88
WFG,77.04
W,52.56
CIVI,62.95
LYFT,16.01
AGNC,9.51
IBP,234.09
IONS,45.36
MTSI,86.53
SSB,82.59
GXO,53.31
TNET,128.36
OLN,52.59
EXEL,21.53
CMC,54.69
AM,13.12
ARW,116.84
BYD,64.34
STWD,19.87
BFAM,107.91
RMBS,56.04
NE,43.32
MMYT,56.78
MNSO,18.91
VFC,15.98
REYN,29.58
SIGI,102.78
CAE,19.13
MUR,39.39
HXL,73.73
ANF,122.82
ADT,6.74
WHR,110.56
FLR,37.02
BLCO,17.6
LFUS,241.49
BC,87.67
KGC,4.98
FOUR,75.01
BPOP,83.44
NSIT,185.45
RRR,57.66
ALGM,30.68
FRSH,20.25
GIL,35.46
QLYS,163.47
TMHC,56.48
CLVT,8.99
ATI,46.73
OBDC,15.08
ELP,8.13
ELPC,7.33
PB,63.01
FAF,57.52
WTFC,97.46
CHX,30.61
ZION,39.03
BBIO,34.0
CIGI,119.39
NXST,163.69
OPCH,32.24
AN,140.93
ADC,57.51
SMAR,42.04
CIG,2.27
CIG.C,2.95
BRZE,57.07
ESI,23.39
MSM,100.8
MTZ,70.91
TKR,80.74
CAVA,51.0
NOVT,158.54
CHH,112.84
ESAB,94.46
FSK,20.23
SON,57.45
ENLC,12.33
PBF,47.34
ESNT,52.88
OMF,46.47
TRNO,62.93
MTH,156.92
TENB,47.58
DTM,57.08
DRS,21.26
PLNT,63.71
INSP,184.94
FLS,42.12
MARA,23.99
FTAI,57.9
SFM,59.63
BECN,87.96
SNV,37.09
CPRI,46.37
BOKF,83.31
TXG,44.98
PEGA,63.72
DOCS,28.29
BXSL,29.77
CNXC,82.89
MLI,49.14
GTLS,126.98
ATKR,151.64
FCFS,117.54
VRNS,49.01
VVV,41.67
LANC,199.81
GLBE,33.11
FYBR,22.13
CWST,92.36
AXS,62.03
AWI,122.37
BPMC,89.49
SUN,61.07
M,19.5
IMVT,37.0
DOOO,66.23
HOG,36.75
PII,92.57
HR,13.43
JHG,31.33
ST,35.03
ASO,70.9
AMG,157.66
STNE,16.83
IGT,26.08
AMR,389.88
MTG,19.29
KNTK,33.93
FRO,22.89
SEE,36.58
RITM,10.7
UGIC,58.73
UGI,24.16
BILI,10.02
SPXC,108.62
LPX,71.51
KEX,87.92
HALO,40.56
MMS,84.16
BCPC,156.88
CADE,27.21
BCC,129.42
PHI,23.05
ALTM,4.81
FG,40.55
VAL,67.15
HGV,46.83
OLLI,82.66
CLS,40.43
FSS,82.84
EXLS,30.54
ALK,38.65
COLM,82.73
IAC,56.69
AA,26.52
CRUS,91.96
KD,21.54
R,114.08
EEFT,108.08
PTEN,11.57
ALIT,9.04
RYN,33.43
SSL,7.7
MDGL,236.54
AGO,84.93
ONB,16.4
VNO,25.47
BROS,28.7
FLO,23.02
ALKS,29.57
THG,135.56
CWAN,20.04
FNB,13.38
IPAR,152.22
SM,41.42
NVMI,161.82
MOG.A,151.4
SKY,83.0
OZK,42.19
KBH,63.65
RVMD,29.74
SLGN,45.6
OGN,18.5
RH,258.56
TKC,5.36
DLO,16.36
HOMB,23.42
PWSC,23.24
BRFS,2.69
SHC,16.81
DNB,10.64
KRG,21.06
FIZZ,51.09
SIG,106.45
RCM,11.1
COOP,72.94
MDC,62.5
SID,3.52
ASH,94.15
WK,87.47
FROG,43.38
UBSI,34.42
SRCL,50.4
MMSI,79.81
PAAS,12.85
ETRN,10.48
LNC,27.34
MSGS,191.36
BMI,156.57
CBT,83.09
VMI,219.01
HUN,26.13
AGI,11.89
WU,12.96
FELE,100.48
AEO,23.32
NFG,48.97
IDA,89.75
AIRC,31.02
ASGN,96.05
GOLF,69.46
GATX,126.66
MGY,21.84
GKOS,89.57
SWX,63.21
FIVN,64.0
FFIN,31.29
BEPC,24.53
LNTH,66.27
CWEN.A,20.68
CWEN,22.18
CPG,7.05
AL,39.97
CC,29.48
PFSI,87.06
SQSP,32.22
ABG,214.62
FRPT,92.01
LPL,4.38
SLM,19.67
SLAB,132.99
PRGO,32.15
VLY,8.44
MDU,21.3
LAZ,38.55
KRC,35.86
PAGS,13.16
SAM,354.43
ACT,26.94
FUL,78.79
HCP,22.12
HRI,151.77
MOD,81.8
SNDR,23.84
RDN,27.45
AVT,46.34
CPA,98.83
POR,41.44
SGRY,33.04
SYNA,103.94
PECO,34.53
ALVO,16.03
POWI,70.45
SHAK,98.04
EPRT,24.56
CVLT,94.73
JXN,52.06
URBN,44.8
NJR,41.42
ENIC,2.89
GME,13.51
KNF,72.33
ACAD,24.78
IOVA,15.77
GBCI,36.44
ASAI,14.69
AQN,5.97
AQNU,21.4
ACA,81.31
RARE,49.48
MATX,116.37
IPGP,85.58
ASAN,17.94
SEDG,67.35
MC,53.96
STEP,35.49
FOLD,13.53
NVST,22.65
AUR,2.57
LOPE,131.95
UMBF,80.75
RIG,4.67
EURN,17.75
HHH,77.28
DXC,21.32
INSM,27.28
EXPO,78.46
RELY,21.14
ORA,64.43
TDW,72.92
VERX,24.71
AB,33.95
OSCR,16.34
HP,37.81
AXSM,78.94
HAE,73.51
JOBY,5.42
BHVN,47.31
GTES,14.64
KAI,321.52
COLB,18.15
CCOI,78.79
CRC,54.02
TDC,37.81
BVN,15.61
ARWR,31.59
KMPR,57.46
HWC,43.09
CBZ,75.47
CAMT,77.79
NEOG,16.96
AEIS,99.39
TRIP,27.32
APLE,16.25
CRDO,22.6
MAC,16.74
ATS,37.24
PYCR,20.64
CBAY,32.23
TSEM,33.27
WEN,18.29
TFSL,13.03
ENS,90.55
BCO,82.0
ERF,17.59
BOX,25.35
ACLS,109.65
NSP,98.48
WHD,45.87
KWR,199.07
GPI,265.12
SPT,63.83
BLKB,68.61
XENE,49.46
SATS,12.67
PGNY,38.67
AAP,61.1
SWTX,49.12
OTTR,86.22
VRRM,22.03
RUSHA,46.69
UA,8.13
UAA,8.43
WDFC,267.0
VKTX,37.42
AVNT,39.17
MLCO,8.59
KTB,63.45
HMY,5.66
IRDM,28.32
BKH,52.32
SMPL,35.59
STNG,66.42
CAR,105.04
ZGN,14.2
BGC,7.08
GMS,90.74
CSWI,230.47
DOCN,37.51
AZTA,63.37
IRTC,105.07
GT,12.22
CNS,71.79
LBRT,20.88
PCH,44.17
IART,44.73
CUZ,22.84
CXM,12.78
DY,119.89
IBRX,3.5
ALRM,71.88
ENOV,62.85
AVAV,123.24
NOG,34.59
BL,56.69
AYX,48.0
GGAL,21.95
MAN,72.35
AXNX,68.39
IQ,3.51
VIST,35.69
STR,21.67
PBH,69.72
BXMT,19.66
IMCR,69.86
OGS,59.34
TPH,35.59
EVH,34.07
CXT,60.56
SANM,61.21
ITRI,74.93
IRT,14.94
WIRE,220.41
APAM,42.16
PK,15.9
VAC,94.86
ERJ,18.19
BDC,83.93
MQ,6.55
NCNO,29.82
CLSK,16.43
SFBS,62.99
PAGP,17.13
ATHM,27.37
LITE,49.08
RPD,55.19
SPR,29.25
BHC,9.18
IFS,29.75
NNI,89.45
ITGR,102.0
BUR,15.62
NVEI,25.46
GFF,68.5
BAK,8.18
NYCB,4.52
MHO,121.28
SEM,28.5
PIPR,186.5
ACIW,30.9
IDYA,45.88
SMG,58.84
JWN,20.39
INST,23.04
YETI,37.53
NARI,57.09
FTRE,36.57
ARCB,140.42
NPO,158.6
ALE,57.12
SR,59.14
CVI,33.43
WD,96.89
BTU,24.75
SHOO,44.4
HI,46.65
FORM,41.21
RIOT,14.85
TNL,45.12
BSM,15.4
RXRX,13.37
SDRL,42.89
GHC,705.13
NOMD,18.59
PNM,37.74
EPR,42.87
FL,35.15
SBRA,13.97
CRS,64.46
BTG,2.49
DFH,35.4
VC,115.03
AI,26.15
BBU,21.9
WOLF,23.77
JBT,98.96
SKT,28.78
ABCB,45.88
ARVN,47.0
DIOD,68.31
KRYS,111.33
PAM,44.54
CNX,20.73
AROC,18.39
LCII,121.88
UNF,166.97
REZI,21.53
RLX,2.0
ADNT,34.38
KFY,59.63
NWL,7.25
ASB,20.63
UCBI,26.06
QDEL,46.89
WOR,64.23
ARCH,167.68
ZD,68.13
BRP,26.47
AMED,94.42
IOSP,124.74
SVV,19.66
DBRG,19.05
FHI,35.23
CVCO,365.8
GSAT,1.65
MGRC,124.9
TIXT,11.21
OMAB,71.0
CRI,81.57
TCN,11.13
QS,6.04
KSS,27.53
BHF,47.89
LIVN,57.12
SLG,46.59
BMA,36.23
NWE,49.1
TEX,53.88
SBSW,4.3
CTRE,23.09
CNO,26.99
HCC,57.85
NSA,35.8
PRKS,47.01
PSNYW,0.18
PSNY,1.31
HELE,125.57
AVAL,2.55
INTA,41.82
NS,23.58
MEOH,44.4
HTGC,18.63
ZKH,19.13
TRMD,33.25
VSH,21.71
AX,52.06
ACLX,62.01
GEF,63.17
SITC,13.87
CGON,43.61
SRAD,9.82
BANF,87.6
CSTM,19.59
BTE,3.4
BRC,57.82
AIN,91.5
TGNA,14.2
ICFI,153.31
WNS,61.7
CATY,39.45
HASI,24.52
INDV,21.28
DOOR,130.0
RNG,31.14
USM,32.55
HGTY,8.39
SXT,67.69
CALM,57.42
TCBI,58.67
FBP,16.55
FLYW,23.39
HUBG,44.45
BNL,14.79
JJSF,143.89
IDCC,107.89
MP,15.0
RUN,11.9
KLIC,48.97
DAVA,66.71
FIBK,26.68
TMDX,83.14
MCY,50.4
HCM,15.72
GBTG,5.98
CCS,87.06
FOXF,47.55
TIGO,15.91
CERT,16.94
OLK,21.81
BEAM,33.99
GBDC,15.92
LEG,20.6
AWR,72.18
MTRN,131.31
YOU,18.11
MRUS,47.45
KOS,5.96
PI,102.19
CDP,24.12
GSHD,75.54
HAYW,12.93
DOC,11.22
FHB,21.16
GH,19.42
CWT,46.1
QTWO,47.57
ACVA,16.52
BOOT,89.02
MYRG,163.66
UTZ,19.15
CABO,441.08
LGIH,113.4
ENV,52.97
ATAT,19.58
VIRT,17.09
PLTK,7.2
PTVE,14.83
MOR,17.62
AVA,33.86
GDRX,6.38
CARG,23.84
RDNT,38.65
EVTC,41.2
EVO,7.56
DNA,1.32
MODG,14.42
FLNC,14.41
OI,17.25
ESE,102.7
WERN,40.72
PDCO,28.8
PLXS,95.29
RCKT,29.28
STRL,87.02
RYTM,45.16
FTDR,32.98
GPOR,140.55
IAS,16.74
ALG,203.55
VSTS,20.03
GLPG,36.24
GO,25.99
PINC,21.62
UEC,6.35
LXP,8.64
DORM,82.73
IIPR,90.72
CENT,43.13
CENTA,37.14
OR,14.2
GRBK,57.18
VSAT,18.49
TDOC,14.5
RXO,21.46
NEP,27.1
ABM,40.62
WSFS,41.98
INSW,51.45
PENN,17.06
PATK,114.07
HIW,23.67
MANU,15.51
FA,17.27
USAC,24.5
PSMT,82.55
CNMD,80.8
